Frequency (Hz) - Wvfm 0->Plot 0,Magnitude (response/impact) - Wvfm 0->Plot 0,Frequency (Hz) - Wvfm 1->Plot 0,Phase (deg) - Wvfm 1->Plot 0,Frequency (Hz) - Wvfm 2->Plot 0,Coherence - Wvfm 2->Plot 0
0,0.395,0,0,0,1
1,0.00123,1,-169.2,1,0.7
2,0.00168,2,-162.9,2,0.9
3,0.00182,3,-172.9,3,0.8
4,0.00185,4,-169.4,4,0.8
5,0.00196,5,-168.4,5,0.9
6,0.00198,6,-169.3,6,0.8
7,0.00206,7,-176.6,7,0.8
8,0.00219,8,-162.9,8,0.9
9,0.002,9,-165.6,9,0.9
10,0.00176,10,-174.4,10,1
11,0.00197,11,-160.3,11,0.9
12,0.00188,12,-161.8,12,0.9
13,0.0019,13,-166.7,13,0.9
14,0.0019,14,-172.8,14,0.8
15,0.00188,15,-166.7,15,0.9
16,0.00222,16,-163.7,16,1
17,0.00217,17,-165.4,17,1
18,0.00178,18,-172.6,18,0.7
19,0.00218,19,-156.3,19,0.9
20,0.002,20,-149.5,20,0.8
21,0.00247,21,-148.4,21,0.6
22,0.00231,22,-146.6,22,0.9
23,0.00173,23,-148.2,23,0.8
24,0.0021,24,-153.7,24,0.9
25,0.00203,25,-148.3,25,0.8
26,0.00229,26,-150.3,26,0.9
27,0.00245,27,-147.4,27,0.9
28,0.002,28,-152.9,28,0.9
29,0.00178,29,-151.5,29,0.9
30,0.00216,30,-149.9,30,0.9
31,0.00198,31,-149.2,31,0.9
32,0.00251,32,-156.9,32,0.9
33,0.0018,33,-151,33,0.9
34,0.00192,34,-144.1,34,0.8
35,0.0021,35,-145.4,35,0.8
36,0.00202,36,-144.7,36,0.9
37,0.00239,37,-145.6,37,0.9
38,0.00248,38,-145.8,38,0.9
39,0.00259,39,-136.8,39,0.9
40,0.00205,40,-137.7,40,0.8
41,0.00233,41,-144.2,41,0.7
42,0.00209,42,-146,42,0.4
43,0.00228,43,-151.5,43,0.6
44,0.00226,44,-139.4,44,0.5
45,0.0019,45,-142.2,45,0.3
46,0.00203,46,-123,46,0.2
47,0.00288,47,-136,47,0.4
48,0.00231,48,-136.8,48,0.2
49,0.00106,49,156.2,49,0
50,0.0026,50,155.8,50,0
51,0.00398,51,33.32,51,0
52,0.00351,52,-94.49,52,0.1
53,0.00415,53,-105.3,53,0.2
54,0.00317,54,-114.5,54,0.4
55,0.00225,55,-141.4,55,0.3
56,0.00308,56,-116.2,56,0.5
57,0.00345,57,-117.3,57,0.6
58,0.00294,58,-113.8,58,0.6
59,0.00263,59,-119.3,59,0.6
60,0.00278,60,-110.2,60,0.6
61,0.00342,61,-115.2,61,0.8
62,0.00288,62,-117,62,0.8
63,0.00292,63,-114.2,63,0.7
64,0.00318,64,-106.4,64,0.7
65,0.0033,65,-107.4,65,0.9
