ax,time_ms
-0.32,2
-0.36,13
-0.3,24
-0.34,35
-0.32,46
-0.33,57
-0.3,68
-0.33,79
-0.32,90
-0.32,101
-2.0,112
-0.49,123
0.09,134
-0.4,145
-0.2,156
0.29,167
0.3,178
0.19,189
-0.12,200
-0.26,211
-0.23,222
-0.4,233
-0.33,244
-0.21,255
-0.58,266
-0.23,277
-0.28,288
-0.49,299
-0.51,310
-0.6,321
-0.68,332
-0.67,343
-0.67,354
-0.64,365
-0.51,376
-0.44,387
-0.41,397
-0.39,408
-0.33,419
-0.31,430
-0.09,441
-0.45,452
-0.28,463
-0.3,474
-0.21,485
-0.25,496
-0.27,507
-0.29,518
-0.21,529
-0.25,540
-0.23,550
-0.24,561
-0.24,572
-0.29,583
-0.3,594
-0.3,605
-0.33,616
-0.32,627
-0.38,638
-0.4,649
-0.43,660
-0.44,671
-0.43,682
-0.45,693
-0.41,704
-0.44,715
-0.43,726
-0.39,737
-0.36,748
-0.36,759
-0.32,770
-0.33,781
-0.38,792
-0.23,803
-0.27,814
-0.26,825
-0.26,836
-0.26,847
